# Every method of every API this server can reach, and the verdict on it.
#
# Phase 4's last deliverable in §16: the discovery documents diffed
# against what the client calls, so that the gap between the API and this
# server is a set of decisions rather than an accident.
#
# Columns, tab-separated: method, verdict, reason.
# A verdict of `used` names the gapi.Client method that implements it;
# `out` gives the reason it is deliberately not used.
#
# The HTTP verb and the path used to sit between the name and the
# verdict. They were typed by hand and read by nothing — a sibling
# repository found the same two dead columns in its own copy — so a
# method that kept its name and moved path was invisible to every gate
# here. They live in testdata/api-methods.json now, which `gates
# api-diff` writes from the discovery documents and nobody edits.
#
# That split is what let completeness move into `make check`. It used to
# rest on api-diff alone, which is manual and needs the network, so
# CONTRIBUTING claimed this record was held to the API while CI held no
# such thing. `gates api-coverage` now fails on a method in the snapshot
# with no verdict here, and on a verdict here for a method the snapshot
# no longer has.
#
# Three parameters are deliberately unused and have no row of their own,
# because a row is per method:
#   useDomainAdminAccess  an administrator acting across an organisation
#                         is not what a per-user server is for.
#   supportsTeamDrives    the pre-2020 spelling of supportsAllDrives,
#                         which every request already carries.
#   enforceSingleParent   Google documents it as deprecated and Drive
#                         gives a file one parent regardless.
about.get	used	Client.About
accessproposals.get	out	the listing carries every field a proposal has, so fetching one by id would be a second call for the same bytes
accessproposals.list	used	Client.ListAccessProposals
accessproposals.resolve	used	Client.ResolveAccessProposal
approvals.approve	used	Client.ApproveApproval
approvals.cancel	used	Client.CancelApproval
approvals.comment	used	Client.CommentApproval
approvals.decline	used	Client.DeclineApproval
approvals.get	used	Client.GetApproval
approvals.list	used	Client.ListApprovals
approvals.reassign	used	Client.ReassignApproval
approvals.start	used	Client.StartApproval
apps.get	out	which third-party apps the account has installed says nothing about a file this server can act on
apps.list	out	as apps.get
changes.getStartPageToken	used	Client.StartPageToken
changes.list	used	Client.ListChanges
changes.watch	out	push needs a public HTTPS endpoint to receive callbacks, and a stdio server has none
channels.stop	out	there is nothing to stop: no channel is ever opened (see changes.watch)
comments.create	used	Client.CreateComment
comments.delete	used	Client.DeleteComment
comments.get	used	Client.GetComment
comments.list	used	Client.ListComments
comments.update	used	Client.UpdateComment
drives.create	used	Client.CreateDrive
drives.delete	used	Client.DeleteDrive
drives.get	used	Client.GetDrive
drives.hide	used	Client.HideDrive
drives.list	used	Client.ListDrives
drives.unhide	used	Client.UnhideDrive
drives.update	used	Client.UpdateDrive
files.copy	used	Client.CopyFile
files.create	used	Client.CreateFile
files.delete	used	Client.DeleteFile
files.download	used	Client.StartDownload
files.emptyTrash	used	Client.EmptyTrash
files.export	used	Client.Export
files.generateCseToken	out	client-side encryption needs a key service this server does not have and cannot stand in for
files.generateIds	used	Client.GenerateIDs
files.get	used	Client.GetFile
files.list	used	Client.ListFiles
files.listLabels	used	Client.ListFileLabels
files.modifyLabels	used	Client.ModifyLabels
files.update	used	Client.UpdateFile
files.watch	out	as changes.watch
operations.get	used	Client.GetOperation
permissions.create	used	Client.CreatePermission
permissions.delete	used	Client.DeletePermission
permissions.get	out	permissions.list returns every grant in full, so one grant by id is a second call for bytes already in hand
permissions.list	used	Client.ListPermissions
permissions.update	used	Client.UpdatePermission
replies.create	used	Client.CreateReply
replies.delete	used	Client.DeleteReply
replies.get	out	comments.list carries a thread's replies inline, so a reply is never fetched on its own
replies.list	out	as replies.get
replies.update	used	Client.UpdateReply
revisions.delete	used	Client.DeleteRevision
revisions.get	used	Client.GetRevision
revisions.list	used	Client.ListRevisions
revisions.update	used	Client.UpdateRevision
teamdrives.create	out	teamdrives is the pre-2020 name for drives and Google documents it as deprecated; drives.* is the same surface
teamdrives.delete	out	as teamdrives.create
teamdrives.get	out	as teamdrives.create
teamdrives.list	out	as teamdrives.create
teamdrives.update	out	as teamdrives.create
drivelabels.labels.create	out	this server applies labels, it does not define them: creating, publishing, disabling or permissioning a definition is an administrator's job in the admin console, and a server that could do it would be a different tool
